,n,p,neighbor,TDR,miss,extra,miss+extra,miss_rate,extra_rate,SHD,SHD_rate,sd(SHD),recall,precision,F1,TPR,FPR,efficiency
pc,50,10,4,0.3636268,12.85,0.3766667,13.226667,0.6363732,0.04825529,16.626667,0.8322653,0.744678,0.8852249,0.7946476,0.744678,0.011039551,0.07435461,257.06
pc,50,50,4,0.3831826,61.456667,4.8566667,66.313333,0.6168174,0.11318188,79.453333,0.7992645,0.8362667,0.8672325,0.8495527,0.8362667,0.002382406,0.04977066,3930.943
pc,50,100,4,0.382283,123.9,14.4266667,138.326667,0.617717,0.15874306,162.113333,0.8096295,0.8728142,0.8674268,0.8692377,0.8728142,0.001236791,0.04175019,12062.023
pc,250,10,4,0.5838212,8.613333,0.3733333,8.986667,0.4161788,0.03000019,12.38,0.6084883,0.8678079,0.8621526,0.8541781,0.8678079,0.021023251,0.05313564,511.35
pc,250,50,4,0.6544281,35.156667,3.7666667,38.923333,0.3455719,0.05441775,48.916667,0.4839214,0.9212804,0.9361127,0.9278442,0.9212804,0.001846369,0.02843763,11182.37
pc,250,100,4,0.695429,60.85,11.5366667,72.386667,0.304571,0.07727695,88.103333,0.4429733,0.9431681,0.9521674,0.9473992,0.9431681,0.000729778,0.02444013,30913.287
pc,500,10,4,0.6390915,7.513333,0.44,7.953333,0.3609085,0.03308608,11.366667,0.5568618,0.8793372,0.8680318,0.8658833,0.8793372,0.022669676,0.04978215,642.9
pc,500,50,4,0.7228497,28.313333,3.54,31.853333,0.2771503,0.04670577,41.013333,0.4045472,0.9273315,0.955111,0.940307,0.9273315,0.00143095,0.02569231,15979.313
pc,500,100,4,0.7731774,45.85,10.8066667,56.656667,0.2268226,0.06532676,71.006667,0.3534365,0.9491661,0.9650907,0.9568539,0.9491661,0.000591505,0.02181471,45892.107
pc,1000,10,4,0.6969451,6.336667,0.5,6.836667,0.3030549,0.03447029,9.793333,0.4798405,0.9024223,0.8963905,0.8936799,0.9024223,0.019410822,0.04906958,788.96
pc,1000,50,4,0.7756082,23.166667,3.4533333,26.62,0.2243918,0.04229708,35.156667,0.3443907,0.9340363,0.9636944,0.9481507,0.9340363,0.001246783,0.02430061,22148.477
pc,1000,100,4,0.8313782,34.17,10.5,44.67,0.1686218,0.05965162,58.756667,0.2928127,0.9501829,0.9711835,0.9603791,0.9501829,0.000521858,0.02065129,67406.38
hc,50,10,4,0.5846885,8.45,3.746667,12.196667,0.41531146,0.2389124,16.28,0.8022884,1,0.7367602,0.8414056,1,0.055203995,0.10081207,190.9667
hc,50,50,4,0.6910505,30.826667,84.816667,115.643333,0.30894951,0.552382,125.85333,1.2728124,1,0.9334906,0.965431,1,0.00444752,0.04310164,9291.7633
hc,50,100,4,0.7040741,59.356667,478.536667,537.893333,0.29592589,0.7701592,554.95667,2.7845303,1,0.9721477,0.9858573,1,0.001838682,0.02868488,71708.2667
hc,250,10,4,0.7594509,5.01,5.05,10.06,0.24054913,0.2386968,15.47333,0.7491708,1,0.7387423,0.8435992,1,0.079070851,0.11286128,247.4833
hc,250,50,4,0.8956232,10.603333,42.163333,52.766667,0.10437679,0.3126658,62.21,0.6148959,1,0.9314055,0.9641301,1,0.004088775,0.07006831,8337.95
